"mmu.miR.1264.3p"	"mmu.miR.1298.5p"	"mmu.miR.5099"	"mmu.miR.448.3p"	"mmu.miR.20a.3p"	"mmu.miR.365.3p"	"mmu.miR.664.5p"	"mmu.miR.126b.5p"	"mmu.miR.199a.5p"	"mmu.miR.363.3p"	"mmu.miR.142a.3p"	"mmu.miR.1298.3p"	"mmu.miR.99a.5p"	"mmu.miR.671.5p"	"mmu.miR.6406"	"mmu.miR.139.3p"	"mmu.miR.501.3p"	"mmu.miR.325.3p"	"mmu.miR.10b.5p"	"mmu.miR.5126"	"mmu.miR.3072.3p"	"mmu.miR.34b.5p"	"mmu.miR.1264.5p"	"mmu.miR.33.5p"	"mmu.miR.338.5p"	"mmu.miR.409.5p"	"mmu.miR.450a.5p"	"mmu.miR.467a.5p"	"mmu.miR.100.5p"	"mmu.miR.1224.5p"	"mmu.miR.148a.3p"	"mmu.miR.125b.5p"	"mmu.miR.30e.5p"	"mmu.miR.152.3p"	"mmu.miR.127.3p"	"mmu.miR.125a.5p"	"mmu.miR.204.3p"	"mmu.miR.34c.5p"	"mmu.miR.186.5p"	"mmu.miR.204.5p"	"mmu.miR.194.5p"	"mmu.miR.30d.5p"	"mmu.let.7d.3p"	"mmu.miR.132.3p"	"mmu.miR.203.3p"	"mmu.miR.382.5p"	"mmu.miR.1843a.5p"	"mmu.miR.26a.5p"	"mmu.miR.187.3p"	"mmu.miR.487b.3p"	"mmu.let.7e.5p"	"mmu.miR.674.5p"	"mmu.let.7a.5p"	"mmu.miR.431.5p"	"mmu.let.7c.5p"	"mmu.miR.666.5p"	"mmu.miR.874.3p"	"mmu.miR.491.5p"	"mmu.miR.92b.5p"	"mmu.miR.770.5p"	"mmu.miR.323.5p"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Sgpp2"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Wdr35"	"Snai1"	"	"	"	"	"Traf6"	"	"	"Synpo"	"	"	"	"	"	"	"Stac"	"	"	"	"	"	"	"	"	"	"	"Timd4"	"	"	"	"	"Psg19"	"	"	"Sf1"	"	"	"Prps1"	"	"	"	"	"Sema4c"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Sgsm1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Wdr52"	"Snai2"	"	"	"	"	"Trappc6b"	"	"	"Syt1"	"	"	"	"	"	"	"Stag2"	"	"	"	"	"	"	"	"	"	"	"Tinf2"	"	"	"	"	"Pskh1"	"	"	"Sfmbt1"	"	"	"Prr14l"	"	"	"	"	"Sema4g"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Sh2b3"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Wdr55"	"Snapin"	"	"	"	"	"Trem1"	"	"	"Syt4"	"	"	"	"	"	"	"Stc1"	"	"	"	"	"	"	"	"	"	"	"Tiprl"	"	"	"	"	"Psors1c2"	"	"	"Sgk2"	"	"	"Prr18"	"	"	"	"	"Sema5a"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Sh2d2a"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Wdr73"	"Snrpn"	"	"	"	"	"Treml2"	"	"	"Syt6"	"	"	"	"	"	"	"Stim2"	"	"	"	"	"	"	"	"	"	"	"Tk2"	"	"	"	"	"Ptafr"	"	"	"Sgk3"	"	"	"Prr3"	"	"	"	"	"Sema6a"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Sh3bgrl2"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Wipf2"	"Sntn"	"	"	"	"	"Triap1"	"	"	"Syvn1"	"	"	"	"	"	"	"Stk35"	"	"	"	"	"	"	"	"	"	"	"Tle3"	"	"	"	"	"Ptchd1"	"	"	"Sgpp2"	"	"	"Prrg3"	"	"	"	"	"Senp8"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Sh3d19"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Wipf3"	"Snx16"	"	"	"	"	"Trib2"	"	"	"Tab3"	"	"	"	"	"	"	"Stk39"	"	"	"	"	"	"	"	"	"	"	"Tlk1"	"	"	"	"	"Pten"	"	"	"Sh2b3"	"	"	"Prrx1"	"	"	"	"	"Sept3"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Sh3pxd2b"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Wiz"	"Snx18"	"	"	"	"	"Tril"	"	"	"Taf5"	"	"	"	"	"	"	"Stox2"	"	"	"	"	"	"	"	"	"	"	"Tlk2"	"	"	"	"	"Ptplad1"	"	"	"Sh3bgrl2"	"	"	"Prss22"	"	"	"	"	"Sept5"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Shc1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Wnt11"	"Snx2"	"	"	"	"	"Trim39"	"	"	"Taldo1"	"	"	"	"	"	"	"Strip1"	"	"	"	"	"	"	"	"	"	"	"Tlr3"	"	"	"	"	"Ptpn14"	"	"	"Siglec1"	"	"	"Prss53"	"	"	"	"	"Serpina12"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"She"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Wnt3a"	"Snx27"	"	"	"	"	"Trim65"	"	"	"Tanc2"	"	"	"	"	"	"	"Stx16"	"	"	"	"	"	"	"	"	"	"	"Tmc7"	"	"	"	"	"Ptprd"	"	"	"Sigmar1"	"	"	"Prtg"	"	"	"	"	"Serpine1"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Shisa5"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Wnt7a"	"Snx30"	"	"	"	"	"Trim66"	"	"	"Taok1"	"	"	"	"	"	"	"Stx2"	"	"	"	"	"	"	"	"	"	"	"Tmcc1"	"	"	"	"	"Ptprj"	"	"	"Sirt7"	"	"	"Psd3"	"	"	"	"	"Sertad2"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Shisa7"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Wnt9b"	"Snx33"	"	"	"	"	"Trim71"	"	"	"Tbc1d1"	"	"	"	"	"	"	"Stxbp5"	"	"	"	"	"	"	"	"	"	"	"Tmed10"	"	"	"	"	"Ptpru"	"	"	"Ska2"	"	"	"Psg17"	"	"	"	"	"Sertad4"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Siah2"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Xirp1"	"Snx8"	"	"	"	"	"Trip12"	"	"	"Tbc1d12"	"	"	"	"	"	"	"Styx"	"	"	"	"	"	"	"	"	"	"	"Tmed2"	"	"	"	"	"Ptrh2"	"	"	"Skida1"	"	"	"Psg19"	"	"	"	"	"Setd5"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Slc12a5"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Xkr7"	"Sobp"	"	"	"	"	"Trmt10b"	"	"	"Tbc1d22a"	"	"	"	"	"	"	"Sun3"	"	"	"	"	"	"	"	"	"	"	"Tmem128"	"	"	"	"	"Pvr"	"	"	"Skil"	"	"	"Psg25"	"	"	"	"	"Sez6"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Slc12a7"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Xlr3a"	"Socs1"	"	"	"	"	"Trmt11"	"	"	"Tbc1d25"	"	"	"	"	"	"	"Surf4"	"	"	"	"	"	"	"	"	"	"	"Tmem131"	"	"	"	"	"Pxdn"	"	"	"Slamf6"	"	"	"Pskh1"	"	"	"	"	"Sfxn1"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Slc12a8"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Xlr3b"	"Socs3"	"	"	"	"	"Trmt1l"	"	"	"Tbc1d2b"	"	"	"	"	"	"	"Swt1"	"	"	"	"	"	"	"	"	"	"	"Tmem135"	"	"	"	"	"Pycard"	"	"	"Slc10a6"	"	"	"Psors1c2"	"	"	"	"	"Sfxn5"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Slc16a11"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Xlr3c"	"Socs6"	"	"	"	"	"Trp53inp1"	"	"	"Tbc1d30"	"	"	"	"	"	"	"Syngr3"	"	"	"	"	"	"	"	"	"	"	"Tmem161b"	"	"	"	"	"Pygo2"	"	"	"Slc10a7"	"	"	"Ptafr"	"	"	"	"	"Sgpl1"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Slc16a3"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Xlr4a"	"Son"	"	"	"	"	"Trp53rk"	"	"	"Tbc1d5"	"	"	"	"	"	"	"Sypl"	"	"	"	"	"	"	"	"	"	"	"Tmem168"	"	"	"	"	"Qars"	"	"	"Slc12a9"	"	"	"Ptchd1"	"	"	"	"	"Sgpp1"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Slc17a5"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Xlr4b"	"Sorcs3"	"	"	"	"	"Trp63"	"	"	"Tbck"	"	"	"	"	"	"	"Sytl1"	"	"	"	"	"	"	"	"	"	"	"Tmem170"	"	"	"	"	"Rab11b"	"	"	"Slc13a4"	"	"	"Ptk6"	"	"	"	"	"Sgsm2"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Slc1a2"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Xlr4c"	"Sos1"	"	"	"	"	"Trpm2"	"	"	"Tbl1xr1"	"	"	"	"	"	"	"Sytl4"	"	"	"	"	"	"	"	"	"	"	"Tmem184b"	"	"	"	"	"Rab11fip2"	"	"	"Slc16a14"	"	"	"Ptplad1"	"	"	"	"	"Sgta"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Slc22a23"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Xpo7"	"Sox12"	"	"	"	"	"Trps1"	"	"	"Tcam1"	"	"	"	"	"	"	"Tab3"	"	"	"	"	"	"	"	"	"	"	"Tmem2"	"	"	"	"	"Rab11fip4"	"	"	"Slc16a9"	"	"	"Ptpn14"	"	"	"	"	"Sh2b1"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Slc24a2"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Yae1d1"	"Sox9"	"	"	"	"	"Trub1"	"	"	"Tceanc"	"	"	"	"	"	"	"Taok1"	"	"	"	"	"	"	"	"	"	"	"Tmem206"	"	"	"	"	"Rab11fip5"	"	"	"Slc17a9"	"	"	"Ptprd"	"	"	"	"	"Sh2d2a"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Slc25a10"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Yes1"	"Sp4"	"	"	"	"	"Tsen54"	"	"	"Tcf12"	"	"	"	"	"	"	"Tasp1"	"	"	"	"	"	"	"	"	"	"	"Tmem229a"	"	"	"	"	"Rab15"	"	"	"Slc20a1"	"	"	"Ptpru"	"	"	"	"	"Sh3bp5"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Slc25a34"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Yipf6"	"Spast"	"	"	"	"	"Tspan11"	"	"	"Tcf7l1"	"	"	"	"	"	"	"Tbc1d10b"	"	"	"	"	"	"	"	"	"	"	"Tmem248"	"	"	"	"	"Rab39"	"	"	"Slc22a23"	"	"	"Pvr"	"	"	"	"	"Sh3glb1"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Slc25a40"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Yod1"	"Spcs3"	"	"	"	"	"Tspan12"	"	"	"Tcta"	"	"	"	"	"	"	"Tbc1d15"	"	"	"	"	"	"	"	"	"	"	"Tmem251"	"	"	"	"	"Rab3gap2"	"	"	"Slc24a3"	"	"	"Pxdn"	"	"	"	"	"Sh3pxd2b"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Slc25a44"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Ypel2"	"Spen"	"	"	"	"	"Tspan14"	"	"	"Tctn1"	"	"	"	"	"	"	"Tbc1d2b"	"	"	"	"	"	"	"	"	"	"	"Tmem255a"	"	"	"	"	"Rab40c"	"	"	"Slc25a16"	"	"	"Pycard"	"	"	"	"	"Shank3"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Slc26a2"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Ythdf2"	"Sphkap"	"	"	"	"	"Tspyl5"	"	"	"Tdg"	"	"	"	"	"	"	"Tbl1xr1"	"	"	"	"	"	"	"	"	"	"	"Tmem30a"	"	"	"	"	"Rab43"	"	"	"Slc25a18"	"	"	"Pygo2"	"	"	"	"	"Shisa6"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Slc27a4"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Zbtb34"	"Spic"	"	"	"	"	"Tstd2"	"	"	"Tenm1"	"	"	"	"	"	"	"Tbl2"	"	"	"	"	"	"	"	"	"	"	"Tmem38b"	"	"	"	"	"Rab5b"	"	"	"Slc25a22"	"	"	"Qars"	"	"	"	"	"Shisa7"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Slc29a3"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Zbtb37"	"Spin4"	"	"	"	"	"Ttc29"	"	"	"Tesk1"	"	"	"	"	"	"	"Tbpl1"	"	"	"	"	"	"	"	"	"	"	"Tmem39a"	"	"	"	"	"Rab6b"	"	"	"Slc25a23"	"	"	"Rab11b"	"	"	"	"	"Sidt1"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Slc31a1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Zbtb7a"	"Spock3"	"	"	"	"	"Ttc38"	"	"	"Tex264"	"	"	"	"	"	"	"Tbx22"	"	"	"	"	"	"	"	"	"	"	"Tmem41b"	"	"	"	"	"Rab8b"	"	"	"Slc25a24"	"	"	"Rab11fip2"	"	"	"	"	"Sirpa"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Slc35b4"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Zbtb9"	"Sptssb"	"	"	"	"	"Ttc7"	"	"	"Tfdp2"	"	"	"	"	"	"	"Tcfl5"	"	"	"	"	"	"	"	"	"	"	"Tmem45a"	"	"	"	"	"Rabgap1l"	"	"	"Slc25a27"	"	"	"Rab11fip4"	"	"	"	"	"Six2"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Slc35c1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Zcchc8"	"Spty2d1"	"	"	"	"	"Tube1"	"	"	"Tfrc"	"	"	"	"	"	"	"Tcp11l1"	"	"	"	"	"	"	"	"	"	"	"Tmem56"	"	"	"	"	"Rabl3"	"	"	"Slc25a4"	"	"	"Rab11fip5"	"	"	"	"	"Ski"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Slc35d1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Zdhhc15"	"Srgap3"	"	"	"	"	"Txnrd1"	"	"	"Tgfa"	"	"	"	"	"	"	"Tcp11l2"	"	"	"	"	"	"	"	"	"	"	"Tmem68"	"	"	"	"	"Rad1"	"	"	"Slc25a45"	"	"	"Rab15"	"	"	"	"	"Skil"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Slc35e2"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Zdhhc20"	"Srsf10"	"	"	"	"	"Tyw3"	"	"	"Tgfb3"	"	"	"	"	"	"	"Tdg"	"	"	"	"	"	"	"	"	"	"	"Tmem87a"	"	"	"	"	"Rad51d"	"	"	"Slc26a9"	"	"	"Rab39"	"	"	"	"	"Skint3"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Slc35e3"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Zdhhc7"	"Srsf12"	"	"	"	"	"Ubash3a"	"	"	"Tgfbr3"	"	"	"	"	"	"	"Tecrl"	"	"	"	"	"	"	"	"	"	"	"Tmem87b"	"	"	"	"	"Ralb"	"	"	"Slc29a2"	"	"	"Rab3gap2"	"	"	"	"	"Sla2"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Slc36a1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Zdhhc9"	"Srsf2"	"	"	"	"	"Ube2a"	"	"	"Tgif2"	"	"	"	"	"	"	"Tenm3"	"	"	"	"	"	"	"	"	"	"	"Tmem88"	"	"	"	"	"Ranbp10"	"	"	"Slc29a3"	"	"	"Rab40c"	"	"	"	"	"Slc12a7"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Slc37a2"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Zfhx2"	"Srsf7"	"	"	"	"	"Ube2g1"	"	"	"Tgtp1"	"	"	"	"	"	"	"Terf1"	"	"	"	"	"	"	"	"	"	"	"Tmem8b"	"	"	"	"	"Rasgrp1"	"	"	"Slc2a12"	"	"	"Rab43"	"	"	"	"	"Slc13a5"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Slc38a2"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Zfp110"	"Ssbp2"	"	"	"	"	"Ube2g2"	"	"	"Thap2"	"	"	"	"	"	"	"Tet1"	"	"	"	"	"	"	"	"	"	"	"Tmod2"	"	"	"	"	"Rasl10a"	"	"	"Slc2a3"	"	"	"Rab5b"	"	"	"	"	"Slc16a10"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Slc38a3"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Zfp113"	"Ssx2ip"	"	"	"	"	"Ube2i"	"	"	"Thrb"	"	"	"	"	"	"	"Tex14"	"	"	"	"	"	"	"	"	"	"	"Tmprss11f"	"	"	"	"	"Rasl10b"	"	"	"Slc30a1"	"	"	"Rab6b"	"	"	"	"	"Slc16a2"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Slc39a11"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Zfp142"	"St8sia4"	"	"	"	"	"Ube2j1"	"	"	"Thumpd1"	"	"	"	"	"	"	"Tex2"	"	"	"	"	"	"	"	"	"	"	"Tmtc3"	"	"	"	"	"Raver2"	"	"	"Slc30a4"	"	"	"Rab8b"	"	"	"	"	"Slc16a6"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Slc39a12"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Zfp148"	"Stac"	"	"	"	"	"Ube2l3"	"	"	"Ticrr"	"	"	"	"	"	"	"Tfdp1"	"	"	"	"	"	"	"	"	"	"	"Tmx1"	"	"	"	"	"Rb1"	"	"	"Slc31a1"	"	"	"Rabgap1l"	"	"	"	"	"Slc16a9"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Slc39a14"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Zfp276"	"Stag2"	"	"	"	"	"Ube2r2"	"	"	"Tifab"	"	"	"	"	"	"	"Tgfbr1"	"	"	"	"	"	"	"	"	"	"	"Tnfrsf10b"	"	"	"	"	"Rbfox1"	"	"	"Slc31a2"	"	"	"Rabl3"	"	"	"	"	"Slc1a1"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Slc39a6"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Zfp281"	"Stc1"	"	"	"	"	"Ube2u"	"	"	"Tktl1"	"	"	"	"	"	"	"Thbs2"	"	"	"	"	"	"	"	"	"	"	"Tnks"	"	"	"	"	"Rbfox2"	"	"	"Slc35c1"	"	"	"Rac2"	"	"	"	"	"Slc1a2"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Slc3a2"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Zfp282"	"Stim2"	"	"	"	"	"Ube2v2"	"	"	"Tm7sf3"	"	"	"	"	"	"	"Tia1"	"	"	"	"	"	"	"	"	"	"	"Tnks1bp1"	"	"	"	"	"Rbm19"	"	"	"Slc35d2"	"	"	"Rad51d"	"	"	"	"	"Slc22a23"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Slc41a1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Zfp385a"	"Stk35"	"	"	"	"	"Ube2w"	"	"	"Tm9sf4"	"	"	"	"	"	"	"Timp2"	"	"	"	"	"	"	"	"	"	"	"Tnks2"	"	"	"	"	"Rbm33"	"	"	"Slc37a4"	"	"	"Rad54l2"	"	"	"	"	"Slc25a10"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Slc43a2"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Zfp41"	"Stk39"	"	"	"	"	"Ubn1"	"	"	"Tmcc3"	"	"	"	"	"	"	"Timp3"	"	"	"	"	"	"	"	"	"	"	"Tnrc6a"	"	"	"	"	"Rbm38"	"	"	"Slc38a9"	"	"	"Ralb"	"	"	"	"	"Slc25a18"	"	"	"	"	"	"
