ID	NOGNA-2M-EF_samtools_idxstats_miRNA_counts.txt	NOGNA-2M-GH_samtools_idxstats_miRNA_counts.txt	NOGNA-2M-IJ_samtools_idxstats_miRNA_counts.txt	NOGNA-2M-KL_samtools_idxstats_miRNA_counts.txt	NOGNA-2M-MN_samtools_idxstats_miRNA_counts.txt	NOGNA-2M-OP_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-CD_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-HL_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-MN_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-OP_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-QR_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-ST_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-AB_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-CD_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-EF_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-GH_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-IJ_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-KL_samtools_idxstats_miRNA_counts.txt
mmu-miR-6920-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-6920-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-6921-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
mmu-miR-6921-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
mmu-miR-6922-3p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	11	0	0
mmu-miR-6922-5p	0	7	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1
mmu-miR-6923-3p	15	10	0	0	17	0	14	0	0	0	0	38	10	52	36	35	42	35
mmu-miR-6923-5p	0	41	0	0	6	11	12	0	0	0	0	0	0	7	3	7	0	0
mmu-miR-6924-3p	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2
mmu-miR-6924-5p	0	4	0	0	0	0	2	0	0	0	0	18	0	2	0	4	1	0
mmu-miR-6925-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-6925-5p	0	0	0	0	8	4	1	0	0	0	0	0	2	1	2	0	0	0
mmu-miR-6926-3p	0	0	0	47	0	0	3	0	0	0	0	6	7	0	0	6	2	2
mmu-miR-6926-5p	0	16	0	0	0	8	6	0	23	0	0	0	0	0	0	0	2	2
mmu-miR-6927-3p	0	0	0	25	0	0	19	0	0	0	0	0	0	6	9	11	8	4
mmu-miR-6927-5p	0	0	0	23	5	17	6	0	0	13	0	1	7	0	7	9	4	4
mmu-miR-6928-3p	0	0	0	0	0	0	4	0	0	0	0	0	7	7	2	2	0	2
mmu-miR-6928-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	1	0
mmu-miR-6929-3p	0	0	0	0	13	0	0	25	0	0	0	0	0	2	6	5	2	1
mmu-miR-6929-5p	16	0	0	0	0	0	3	0	0	0	0	4	0	3	2	9	8	0
mmu-miR-693-3p	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-693-5p	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	2	0
mmu-miR-6930-3p	0	0	0	0	0	1	0	0	0	0	0	0	0	2	4	0	0	1
mmu-miR-6930-5p	1	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0
mmu-miR-6931-3p	0	0	0	0	2	7	0	0	0	0	0	0	0	0	0	0	4	0
mmu-miR-6931-5p	0	0	0	0	0	1	8	2	0	0	0	14	3	2	11	7	1	7
mmu-miR-6932-3p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0
mmu-miR-6932-5p	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
mmu-miR-6933-3p	0	0	0	0	3	0	4	0	0	0	0	0	0	0	2	0	0	0
mmu-miR-6933-5p	0	1	0	0	0	7	3	4	0	12	0	0	2	0	0	0	1	0
mmu-miR-6934-3p	1	0	0	0	0	0	0	0	0	0	0	0	2	0	8	3	1	3
mmu-miR-6934-5p	0	0	0	0	4	19	7	0	0	1	0	0	0	0	9	0	0	0
mmu-miR-6935-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
mmu-miR-6935-5p	0	0	0	0	0	0	4	0	0	0	0	0	4	16	5	3	9	2
mmu-miR-6936-3p	30	11	0	3	17	8	36	0	31	0	0	4	6	34	35	38	36	12
mmu-miR-6936-5p	0	0	0	0	0	0	0	0	10	0	0	0	0	5	2	0	5	2
mmu-miR-6937-3p	0	9	0	0	6	0	4	36	0	0	0	4	5	6	3	0	5	1
mmu-miR-6937-5p	25	0	0	0	37	31	63	17	0	0	0	6	7	19	27	11	10	15
mmu-miR-6938-3p	0	0	0	0	0	0	2	0	0	26	0	15	0	3	2	4	10	4
